feature,mean_abs_shap
num__solar_irradiance_today,0.580141311156807
num__clear_sky_irradiance_today,0.45790143485129364
num__cloud_cover_pct,0.25507696299907195
num__irradiance_utilization_ratio,0.14497801277941932
num__latitude,0.1415614782489299
num__relative_humidity_pct,0.06727567999907492
num__surface_pressure_kpa,0.04477778057972022
num__dayofyear,0.03589875536436291
num__heat_humidity_index,0.03349217712191093
num__longitude,0.03121317732183736
num__clearness_index_today,0.029916424321242467
num__temperature_max_c,0.020281891254242713
num__dayofyear_cos,0.015044674134663183
num__temperature_avg_c,0.012986886446850083
num__temperature_min_c,0.009667265119000594
cat__region_sul,0.007482463101754791
num__month_cos,0.0022717420806463422
num__month,0.0008808943434870609
